title,author,advisor,year,handle,link
Web alapú alkalmazás fejlesztése,"Földi, Ferenc Norbert","Rutkovszky, Edéné; Pázmányi, Sándor",2009-11-19T10:10:26Z,2437/90274,https://dea.lib.unideb.hu/handle/2437/90274
Mobilalkalmazás gépi tanulással: Pénzügyi döntések formálása előrejelzésekkel és elemzésekkel,"Péter, Marcell","Szabó, Máté",2026,2437/413273,https://dea.lib.unideb.hu/handle/2437/413273
Vizsgáztató alkalmazás egyetemistáknak Spring Boot és Angular alapokon,"Komlósi, Dávid","Szabó, Máté",2024,2437/374455,https://dea.lib.unideb.hu/handle/2437/374455
Alkalmazás rendszerüzemeltetés szabványosítása nagyvállalati környezetben,"Rák, János","Szabó, Sándor Attila; Kocsis, Gergely",2016,2437/233195,https://dea.lib.unideb.hu/handle/2437/233195
Mobil marketing,"Tarjányi, Beáta","Szabóné Pataky, Eszter",2012-06-07T07:43:51Z,2437/129846,https://dea.lib.unideb.hu/handle/2437/129846
A ScoreBoard sporteredmény alkalmazás,"Ballai, László Sándor","Szathmáry, László",2025,2437/387380,https://dea.lib.unideb.hu/handle/2437/387380
Alkalmazás fejlesztés Python nyelven,"Sass, Tamás","Szathmáry, László",2020,2437/285667,https://dea.lib.unideb.hu/handle/2437/285667
Android alkalmazásfejlesztés Java nyelven,"Sárközi, Dániel Lajos","Szathmáry, László",2026,2437/413277,https://dea.lib.unideb.hu/handle/2437/413277
Esport verseny szervező Android alkalmazás,"Barczi, István","Szathmáry, László",2025,2437/387386,https://dea.lib.unideb.hu/handle/2437/387386
Fitnesz alkalmazás fejlesztés mobil eszközre C# nyelven,"Veres, Attila","Szathmáry, László",2026,2437/404487,https://dea.lib.unideb.hu/handle/2437/404487
Fotó alapú Sudoku alkalmazás fejlesztése Flutterben Python FastAPI backend használatával,"Csuka, Balázs","Szathmáry, László",2024,2437/374567,https://dea.lib.unideb.hu/handle/2437/374567
Gitár oktató webes alkalmazás Flask keretrendszerrel,"Csontos, Réka Hanga","Szathmáry, László",2022,2437/330761,https://dea.lib.unideb.hu/handle/2437/330761
Kép- és videójavító alkalmazás Real-ESRGAN neurális hálózatra építve,"Simon, Mihály Miklós","Szathmáry, László",2024,2437/365922,https://dea.lib.unideb.hu/handle/2437/365922
Készletkarbantartó és áru nyomkövető alkalmazás élelmiszercsomagoló üzem részére,"Varga, Vencel Imre","Szathmáry, László",2013-06-13T08:47:51Z,2437/170848,https://dea.lib.unideb.hu/handle/2437/170848
Költségvetés követő alkalmazás fejlesztése Angular keretrendszerrel,"Kovács, Nikoletta","Szathmáry, László",2022,2437/332114,https://dea.lib.unideb.hu/handle/2437/332114
Nyelvtanulást segítő grafikus alkalmazás fejlesztése Python nyelven,"Mátyus, Gergő","Szathmáry, László",2015,2437/213099,https://dea.lib.unideb.hu/handle/2437/213099
Nyelvtanulást segítő mobilalkalmazás fejlesztése,"Nagy, Kristián","Szathmáry, László",2022,2437/332061,https://dea.lib.unideb.hu/handle/2437/332061
Webes alkalmazás fejlesztése Scala nyelven,"Orbán, István","Szathmáry, László",2016,2437/225643,https://dea.lib.unideb.hu/handle/2437/225643
Webes feladat menedzselő alkalmazás fejlesztése,"Kékesi, Roland","Szathmáry, László",2021,2437/324829,https://dea.lib.unideb.hu/handle/2437/324829
Webes ételrendelő alkalmazás Python nyelven,"Molnár, András Imre","Szathmáry, László",2021,2437/307104,https://dea.lib.unideb.hu/handle/2437/307104
Élő sportfogadást segítő alkalmazás fejlesztése .NET MAUI keretrendszerrel,"Fetter, Dávid","Szathmáry, László",2024,2437/374566,https://dea.lib.unideb.hu/handle/2437/374566
Alkalmazás fejlesztése Python nyelven,"Hernyák, István","Szathmáry, László; Bíró, Csaba",2022,2437/341417,https://dea.lib.unideb.hu/handle/2437/341417
Gesztusvezérelt alkalmazás fejlesztése,"Kalász, László Zoltán","Szeghalmy, Szilvia",2016,2437/227544,https://dea.lib.unideb.hu/handle/2437/227544
Gesztusvezérlésű Android játék,"Somogyi, Róbert","Szeghalmy, Szilvia",2021,2437/306458,https://dea.lib.unideb.hu/handle/2437/306458
Képfeldolgozás Android platformon,"Fodor, Attila","Szeghalmy, Szilvia",2018,2437/250642,https://dea.lib.unideb.hu/handle/2437/250642
Mobilos parkoló alkalmazás megvalósítása képfeldolgozási módszerekkel,"Kosztur, Zoltán","Szeghalmy, Szilvia",2017,2437/239710,https://dea.lib.unideb.hu/handle/2437/239710
Webes gesztusvezérlő alkalmazás fejlesztése,"Szabó, Bettina","Szeghalmy, Szilvia",2017,2437/246242,https://dea.lib.unideb.hu/handle/2437/246242
Windowsos játék alkalmazás fejlesztése Kinect szenzor felhasználásával,"Szabó, Attila","Szeghalmy, Szilvia",2017,2437/238639,https://dea.lib.unideb.hu/handle/2437/238639
Többutas alagút technológia alkalmazási lehetőségeinek vizsgálata otthoni és mobil hálózati környezetben,"Fejes, Ferenc; Katona, Róbert","Szilágyi, Szabolcs; Rácz, Sándor",2017,2437/246149,https://dea.lib.unideb.hu/handle/2437/246149
Többutas alagút technológia alkalmazási lehetőségeinek vizsgálata otthoni és mobil hálózati környezetben,"Fejes, Ferenc; Katona, Róbert","Szilágyi, Szabolcs; Rácz, Sándor",2018,2437/249590,https://dea.lib.unideb.hu/handle/2437/249590
Sorbanállási rendszerek implementálása a QSA (queueing systems assistance) alkalmazás,"Szászi, Szabolcs Gyula","Sztrik, János",2019,2437/276805,https://dea.lib.unideb.hu/handle/2437/276805
Mobilapplikáció által vezérelt pályakövető robot,"Faragó, Patrik Bálint","Sütő, József",2025,2437/387483,https://dea.lib.unideb.hu/handle/2437/387483
Okos otthon vezérlő applikáció fejlesztése,"Sárközi, Dániel Kristóf","Tajti, Tibor Gábor",2024,2437/374629,https://dea.lib.unideb.hu/handle/2437/374629
A FinTech fejlődése Magyarországon és az OTP mobil szolgáltató Kft. és a Barion Payment Zrt. Fintech cégek összehasonlító elemzése,"Kapin, Nikoletta Judit","Takács, Viktor László",2023,2437/350245,https://dea.lib.unideb.hu/handle/2437/350245
A művészetek világa: Visual Basic alapú alkalmazás műalkotások felfedezéséhez és értékeléséhez,"Molnár, Máté Simon","Tiba, Attila",2025,2437/387436,https://dea.lib.unideb.hu/handle/2437/387436
Adminisztrációs alkalmazás fodrászoknak Java alapon,"Áncsán, Kristóf","Tiba, Attila",2022,2437/341531,https://dea.lib.unideb.hu/handle/2437/341531
Asztalitenisz versenyszervezéssel kapcsolatos adminisztrációs alkalmazás tervezése és fejlesztése,"Varga, Kristóf","Tiba, Attila",2024,2437/365942,https://dea.lib.unideb.hu/handle/2437/365942
Autós webes alkalmazás fejlesztése,"Kocsis, Sándor","Tiba, Attila",2026,2437/404418,https://dea.lib.unideb.hu/handle/2437/404418
E-sport verseny szervező alkalmazás készítése Visual Basic for Applications segítségével,"Galamb, Gergő","Tiba, Attila",2024,2437/374419,https://dea.lib.unideb.hu/handle/2437/374419
Fizikai mozgás nyomon követését elősegítő webes alkalmazás fejlesztése: WebGainz,"Bíró, Zsombor Zsolt","Tiba, Attila",2025,2437/394779,https://dea.lib.unideb.hu/handle/2437/394779
Háztartási nagygépeket forgalmazó alkalmazás létrehozása VBA eszközök segítségével,"Lázár, Gergő","Tiba, Attila",2022,2437/341287,https://dea.lib.unideb.hu/handle/2437/341287
Instant messaging alkalmazás a weben,"Szél, Attila","Tiba, Attila",2024,2437/365963,https://dea.lib.unideb.hu/handle/2437/365963
Interaktív VBA alkalmazás készítése a Microsoft Excel matematikai funkcióinak felhasználóbarát bővítéséhez,"Nagy, Máté","Tiba, Attila",2021,2437/324659,https://dea.lib.unideb.hu/handle/2437/324659
Java alapú ebédrendelő alkalmazás készítése kifőzdék számára,"Veres, Dávid","Tiba, Attila",2024,2437/374424,https://dea.lib.unideb.hu/handle/2437/374424
Java alapú webes jegyzet- és projektmenedzsment alkalmazás tervezése és megvalósítása Spring Boot keretrendszerrel,"Géczi, János","Tiba, Attila",2026,2437/413387,https://dea.lib.unideb.hu/handle/2437/413387
Java applikáció könyvesbolti tevékenységek kezelésére,"Halász, Ruben","Tiba, Attila",2023,2437/349889,https://dea.lib.unideb.hu/handle/2437/349889
Rendeléskezelő applikáció Java SE-nel,"Bartha, Zoltán","Tiba, Attila",2022,2437/331096,https://dea.lib.unideb.hu/handle/2437/331096
Sorozat követő alkalmazás,"Szabó, Zsolt","Tiba, Attila",2025,2437/387437,https://dea.lib.unideb.hu/handle/2437/387437
Szakember kereső alkalmazás,"Lőrincz, Kristóf Mihály","Tiba, Attila",2026,2437/404417,https://dea.lib.unideb.hu/handle/2437/404417
Visual Basic for Application alkalmazás készítése a cukrászdák hatékonyabb működéséhez.,"Zombori, László","Tiba, Attila",2021,2437/306417,https://dea.lib.unideb.hu/handle/2437/306417
Webes alkalmazás interaktív filmajánláshoz,"Mózsik, Imre","Tiba, Attila",2025,2437/394783,https://dea.lib.unideb.hu/handle/2437/394783
Webes alkalmazás kártyagyűjtemények leltárvezetéséhez,"Karalyos, Gergő","Tiba, Attila",2023,2437/350784,https://dea.lib.unideb.hu/handle/2437/350784
WebPláza alkalmazás fejlesztése,"Jakab, Szabolcs","Tiba, Attila",2024,2437/374418,https://dea.lib.unideb.hu/handle/2437/374418
Digitális jelentkezési rendszer fejlesztése Power Apps-ben - vállalati toborzási események támogatására,"Balogh, Dénes","Tiba, Attila; Szabó, Zsombor",2026,2437/404419,https://dea.lib.unideb.hu/handle/2437/404419
Használtóra értékesítő mobilalkalmazás készítése,"Hegedüs, Bálint","Tomán, Henrietta",2025,2437/394759,https://dea.lib.unideb.hu/handle/2437/394759
Képfeldolgozó alkalmazás fejlesztése könyvelési célokra,"Kovács, Erik Kevin","Tomán, Henrietta",2026,2437/413210,https://dea.lib.unideb.hu/handle/2437/413210
Mobil alkalmazások fejlesztése,"Zsabej, Márk","Tomán, Henrietta",2025,2437/394752,https://dea.lib.unideb.hu/handle/2437/394752
Mobillal Vezérelt Házi Hálózat,"Gerengay, Tamás","Tomán, Henrietta",2014-06-06T10:21:33Z,2437/193885,https://dea.lib.unideb.hu/handle/2437/193885
Sudoku-megoldó alkalmazás fejlesztése képfeldolgozással,"Preg, István Tamás","Tomán, Henrietta",2022,2437/341289,https://dea.lib.unideb.hu/handle/2437/341289
Tower Defense játék fejlesztése Unityben Android és Windows operációs rendszerre,"Becsky, Roland Tamás","Tomán, Henrietta",2023,2437/351253,https://dea.lib.unideb.hu/handle/2437/351253
Autodesk 3ds Max alkalmazás animációs rövidfilm készítéséhez,"Buzás, Dóra","Tomán, Henrietta; Horváth, Ákos",2013-06-11T08:19:23Z,2437/170740,https://dea.lib.unideb.hu/handle/2437/170740
Android Memory and CPU Management,"Zeytinli, Mustafa","Tornai, Róbert",2015,2437/211855,https://dea.lib.unideb.hu/handle/2437/211855
Grafikus Java Alkalmazás,"Pick, Szabina","Tornai, Róbert",2011-04-27T09:25:03Z,2437/105085,https://dea.lib.unideb.hu/handle/2437/105085
Házipénztár alkalmazás fejlesztése Android platformra,"Munkácsi, Tamás","Tornai, Róbert",2014,2437/201721,https://dea.lib.unideb.hu/handle/2437/201721
Párhuzamos Képfeldolgozó és Képszerkesztő Alkalmazás Rustban,"Bártfai, Botond","Tornai, Róbert",2026,2437/413361,https://dea.lib.unideb.hu/handle/2437/413361
Vizsgáztatást segítő alkalmazás Java nyelven,"Urbán, Attila","Tornai, Róbert",2011-04-01T08:34:44Z,2437/103628,https://dea.lib.unideb.hu/handle/2437/103628
Könyvkölcsönző webes alkalmazás fejlesztése,"Czipa, Csaba","Tóth, Erzsébet",2026,2437/413258,https://dea.lib.unideb.hu/handle/2437/413258
Mesterséges intelligenciával támogatott alkalmazás fejlesztése jelentkezési adatok kezeléséhez,"Varga, József Márk","Tóth, János",2025,2437/395050,https://dea.lib.unideb.hu/handle/2437/395050
Hálózati alkalmazás fejlesztése meteorológiai rendszerhez,"Csizmadia, Gábor","Tóth, László",2013-04-25T11:58:17Z,2437/165690,https://dea.lib.unideb.hu/handle/2437/165690
Rendszerfrissítő alkalmazás mikrokontrolleren alapuló időjárás-előrejelző rendszerhez,"Ferenc, Bálint","Tóth, László",2012-12-04T14:31:44Z,2437/153710,https://dea.lib.unideb.hu/handle/2437/153710
"Videó, film felirat konvertáló alkalmazás","Rimóczi, Lóránd András","Tóth, Róbert",2025,2437/395076,https://dea.lib.unideb.hu/handle/2437/395076
Felhőben futtatott androidos alkalmazás fejlesztése,"Torda, Péter","Tóth, Ádám",2021,2437/324984,https://dea.lib.unideb.hu/handle/2437/324984
Fitnesz nyilvántartó alkalmazás,"Korcsmáros, Tamás","Tóth, Ádám",2026,2437/404391,https://dea.lib.unideb.hu/handle/2437/404391
Felhasználói felület környezeti adatok monitorozásához Android rendszeren,"Lőkös, Áron","Ujvári, Balázs",2025,2437/394796,https://dea.lib.unideb.hu/handle/2437/394796
Közösségi közlekedést elősegítő alkalmazás,"Karátsony, Ádám","Varga, Imre",2024,2437/374617,https://dea.lib.unideb.hu/handle/2437/374617
Mobile Device Management megoldások nagyvállalati környezetben,"Albert, Tamás","Varga, Imre",2016,2437/232984,https://dea.lib.unideb.hu/handle/2437/232984
Google demo alkalmazás integrálása Amazon AWS környezetbe,"Incze, Krisztián Imre","Varga, Imre; Tarsoly, Sándor",2026,2437/413392,https://dea.lib.unideb.hu/handle/2437/413392
Adatbázisos alkalmazás fejlesztése: A MixBase rendszer,"Bocskai, Norbert","Vágner, Anikó",2013-05-03T08:19:24Z,2437/166645,https://dea.lib.unideb.hu/handle/2437/166645
Agilis módszertant támogató alkalmazás,"Türk, Ottó","Vágner, Anikó",2014,2437/202781,https://dea.lib.unideb.hu/handle/2437/202781
Alkalkalmazásfejlesztés iOS platformra,"Imre, Gergely László","Vágner, Anikó",2016,2437/233119,https://dea.lib.unideb.hu/handle/2437/233119
Alkalmazás fejlesztés Android platformra,"Kistamás, Dávid","Vágner, Anikó",2020,2437/298224,https://dea.lib.unideb.hu/handle/2437/298224
Alkalmazás fejlesztés Android platformra Kotlin nyelven,"Németh, Máté Bence","Vágner, Anikó",2021,2437/306193,https://dea.lib.unideb.hu/handle/2437/306193
Alkalmazás fejlesztés C#-ban,"Balogh, István","Vágner, Anikó",2017,2437/245510,https://dea.lib.unideb.hu/handle/2437/245510
Alkalmazás tervezése,"Szabó, Péter","Vágner, Anikó",2013-05-16T12:03:28Z,2437/168371,https://dea.lib.unideb.hu/handle/2437/168371
Asztali alkalmazás,"Tóth, Balázs","Vágner, Anikó",2020,2437/284259,https://dea.lib.unideb.hu/handle/2437/284259
Asztali alkalmazás fejlesztése,"Butcovan, György","Vágner, Anikó",2022,2437/341380,https://dea.lib.unideb.hu/handle/2437/341380
Asztali alkalmazás fejlesztése,"Hirku, Tamás","Vágner, Anikó",2021,2437/306963,https://dea.lib.unideb.hu/handle/2437/306963
Atlassian alkalmazás fejlesztése,"Borvíz, Róbert András","Vágner, Anikó",2021,2437/306180,https://dea.lib.unideb.hu/handle/2437/306180
Autókölcsönző mobil alkalmazás,"Simion, Tamás","Vágner, Anikó",2022,2437/338848,https://dea.lib.unideb.hu/handle/2437/338848
Az én iOS webáruházam,"Geszti, Bence","Vágner, Anikó",2020,2437/299187,https://dea.lib.unideb.hu/handle/2437/299187
E-sport eredmény nyílvántartó alkalmazás,"Molnár, Zoltán","Vágner, Anikó",2024,2437/365837,https://dea.lib.unideb.hu/handle/2437/365837
Egészség megőrzést támogató mobil alkalmazás fejlesztése,"Lámfalusi, Csaba","Vágner, Anikó",2017,2437/239469,https://dea.lib.unideb.hu/handle/2437/239469
Fitnesz mobil alkalmazás fejlesztés kotlin nyelven,"Guth, Károly","Vágner, Anikó",2021,2437/307291,https://dea.lib.unideb.hu/handle/2437/307291
Gamification webes alkalmazás fejlesztése Java nyelven,"Bódis, Gábor","Vágner, Anikó",2021,2437/325834,https://dea.lib.unideb.hu/handle/2437/325834
Hatékony alkalmazásfejlesztés Android Platformon,"R. Benedek, László","Vágner, Anikó",2017,2437/245953,https://dea.lib.unideb.hu/handle/2437/245953
Interaktív városvezetés mobilalkalmazás segítségével,"Mészáros, László","Vágner, Anikó",2020,2437/286244,https://dea.lib.unideb.hu/handle/2437/286244
Iskolai portarendszert segítő alkalmazás,"Belics, Fanni","Vágner, Anikó",2023,2437/351836,https://dea.lib.unideb.hu/handle/2437/351836
Mobil alkalmazások fejlesztése,"Bozsányi, András","Vágner, Anikó",2019,2437/266519,https://dea.lib.unideb.hu/handle/2437/266519
Mobilalkalmazás,"Vékony, Orsolya Petra","Vágner, Anikó",2022,2437/340831,https://dea.lib.unideb.hu/handle/2437/340831
Mobilalkalmazás fejlesztése,"Mester, Ákos","Vágner, Anikó",2023,2437/350175,https://dea.lib.unideb.hu/handle/2437/350175
Mobilalkalmazás-fejlesztés Android platformra,"Fenesi, Gábor István","Vágner, Anikó",2016,2437/225490,https://dea.lib.unideb.hu/handle/2437/225490
Mobilalkalmazás-fejlesztés Android platformra,"Kosárkár, Miklós","Vágner, Anikó",2021,2437/308732,https://dea.lib.unideb.hu/handle/2437/308732
Pillanatkép az Android alkalmazásfejlesztés aktuális állapotáról egy eseményszervező alkalmazás segítségével,"Kiss, Gergő","Vágner, Anikó",2021,2437/324157,https://dea.lib.unideb.hu/handle/2437/324157
Személyi edzetteket támogató mobilalkalmazás,"Káplár, István","Vágner, Anikó",2022,2437/339854,https://dea.lib.unideb.hu/handle/2437/339854
Taxi alkalmazás Android platformon,"Sápi, Gábor","Vágner, Anikó",2022,2437/339733,https://dea.lib.unideb.hu/handle/2437/339733
Webes alkalmazás fejlesztése,"Kóti, Bence","Vágner, Anikó",2022,2437/340243,https://dea.lib.unideb.hu/handle/2437/340243
Éttermi applikáció Java alapokon,"File, Péter","Vágner, Anikó",2019,2437/276645,https://dea.lib.unideb.hu/handle/2437/276645
CinemApp - Online mozijegy foglaló webalkalmazás,"Magyar, Zsófia","Vágner, Anikó Szilvia",2026,2437/413104,https://dea.lib.unideb.hu/handle/2437/413104
"IoT rendszer tervezése, kivitelezése és telefonos irányítása","Tóth, Kristóf Imre","Vágner, Anikó Szilvia",2024,2437/374557,https://dea.lib.unideb.hu/handle/2437/374557
NoSQL alapú mobilalkalmazás fejlesztése,"Nagy, Mónika","Vágner, Anikó Szilvia",2026,2437/413111,https://dea.lib.unideb.hu/handle/2437/413111
Valós idejű forgalommeghatározó mobilalkalmazás,"Fekete, Adrián","Vágner, Anikó Szilvia",2026,2437/413108,https://dea.lib.unideb.hu/handle/2437/413108
iOS alapú AR alkalmazásfejlesztés,"Pintér, Balázs Levente","Zichar, Marianna",2022,2437/340506,https://dea.lib.unideb.hu/handle/2437/340506
Web3 dapp (Decentralizált applikáció),"Lockár, Miklós","Zichar, Marianna",2024,2437/365961,https://dea.lib.unideb.hu/handle/2437/365961
Webes alkalmazás fejlesztés CesiumJS használatával,"Szabó, Sándor Miklós","Zichar, Marianna",2020,2437/286683,https://dea.lib.unideb.hu/handle/2437/286683
Webes alkalmazás fejlesztése ételfutároknak,"Uj, Balázs","Zichar, Marianna",2024,2437/365966,https://dea.lib.unideb.hu/handle/2437/365966
Webes applikáció React alapokon,"Révi, Norbert","Zichar, Marianna",2026,2437/413411,https://dea.lib.unideb.hu/handle/2437/413411
Az interaktív tábla alkalmazás informatika órán,"Kelemenné Nagy, Anikó","Ziliziné Bertalan, Gabriella",2009-05-04T13:01:59Z,2437/85263,https://dea.lib.unideb.hu/handle/2437/85263
