title,author,advisor,year,handle,link
Fit Mate - Androidos kliens-szerver architektúrájú alkalmazás,"Gyimesi, Zoltán","Kuki, Attila",2025,2437/394986,https://dea.lib.unideb.hu/handle/2437/394986
Kliens-szerver architektúrájú alkalmazás fejlesztése,"Zabolai, Attila","Kuki, Attila",2017,2437/239519,https://dea.lib.unideb.hu/handle/2437/239519
Kliens-szerver architektúrájú webes alkalmazás fejlesztés,"Badics, Bence","Kuki, Attila",2020,2437/298158,https://dea.lib.unideb.hu/handle/2437/298158
"Képfeldolgozó, képszerkesztő alkalmazás","Nagy, Gergely","Kuki, Attila",2025,2437/394989,https://dea.lib.unideb.hu/handle/2437/394989
Könyvtárkezelő alkalmazás fejlesztés,"Pál, Márk János","Kuki, Attila",2021,2437/324718,https://dea.lib.unideb.hu/handle/2437/324718
Középiskolai matematikai tudást felmérő alkalmazás fejlesztése,"Fekete, Máté","Kuki, Attila",2021,2437/324755,https://dea.lib.unideb.hu/handle/2437/324755
Matematikai és logikai feladatok megértését segítő webes alkalmazás,"Csomor, Benő","Kuki, Attila",2026,2437/404505,https://dea.lib.unideb.hu/handle/2437/404505
Megrendelés és adatkezelő webes alkalmazás fejlesztése egy kisvállalat számára,"Borbély, Bence","Kuki, Attila",2014,2437/201407,https://dea.lib.unideb.hu/handle/2437/201407
Multiplatform chat alkalmazás fejlesztés,"Badics, Bence","Kuki, Attila",2024,2437/365970,https://dea.lib.unideb.hu/handle/2437/365970
Munkafolyamat-kezelő alkalmazás VUE és Node alapokon,"Koszta, Benjámin","Kuki, Attila",2023,2437/350020,https://dea.lib.unideb.hu/handle/2437/350020
Munkaidő követő Java alkalmazás fejlesztése Spring felhasználásával,"Kapczár, János","Kuki, Attila",2020,2437/286059,https://dea.lib.unideb.hu/handle/2437/286059
Napelemes rendszer kivitelezést támogató android alkalmazás,"Molnár, Péter","Kuki, Attila",2018,2437/250643,https://dea.lib.unideb.hu/handle/2437/250643
Online ételrendeléssel foglakozó webes alkalmazás tervezése,"Szivák, Tamás","Kuki, Attila",2014,2437/201205,https://dea.lib.unideb.hu/handle/2437/201205
Pénzügyi költségkövető alkalmazás fejlesztése,"Németi, Gábor","Kuki, Attila",2026,2437/404504,https://dea.lib.unideb.hu/handle/2437/404504
Számlázás- és fogyasztáskövető alkalmazás a vendéglátásban,"Csicsák, Izsák Salamon","Kuki, Attila",2024,2437/374433,https://dea.lib.unideb.hu/handle/2437/374433
Tartalomértékelés interaktív platformon: Értékelő alkalmazás fejlesztése módszertani megközelítéssel,"Szilágyi, János","Kuki, Attila",2026,2437/404502,https://dea.lib.unideb.hu/handle/2437/404502
WEB-es adatbáziskezelő-alkalmazás készítése PHP használatával,"Bodzás, Gabriella","Kuki, Attila",2007-03-13T18:15:31Z,2437/1301,https://dea.lib.unideb.hu/handle/2437/1301
Webes alkalmazás fejlesztés: egy banki ügyfélkapcsolat támogató rendszer,"Szentesi, Viktor","Kuki, Attila",2007-11-30T10:22:03Z,2437/3114,https://dea.lib.unideb.hu/handle/2437/3114
Webes alkalmazás online marketing-hez,"Balogh, Ervin","Kuki, Attila",2011-09-01T08:30:09Z,2437/110811,https://dea.lib.unideb.hu/handle/2437/110811
Webes alkalmazás szolgáltatást nyújtó szakembernek,"Huri, Patrik","Kuki, Attila",2022,2437/331779,https://dea.lib.unideb.hu/handle/2437/331779
Webes projektmenedzselő alkalmazás fejlesztése,"Podlovics, Tibor","Kuki, Attila",2010-06-04T08:47:33Z,2437/97117,https://dea.lib.unideb.hu/handle/2437/97117
Webes SCRUM alkalmazás,"Tar, Balázs","Kuki, Attila",2011-11-18T08:31:01Z,2437/118674,https://dea.lib.unideb.hu/handle/2437/118674
Webes üzenetküldő alkalmazás,"Nagy, Ádám Imre","Kuki, Attila",2019,2437/266451,https://dea.lib.unideb.hu/handle/2437/266451
Webes-alkalmazás fejlesztése szabadon választott témában,"Rigó, Balázs","Kuki, Attila",2012-05-09T10:20:38Z,2437/128745,https://dea.lib.unideb.hu/handle/2437/128745
Webraktar - raktárkezelést és értékesítést támogató webes alkalmazás,"Hoffmann, Antal","Kuki, Attila",2010-05-04T08:05:58Z,2437/95377,https://dea.lib.unideb.hu/handle/2437/95377
Webshop alkalmazás létrehozása WAMP környezetben,"Sárközi, Zoltán","Kuki, Attila",2011-04-28T09:17:29Z,2437/105227,https://dea.lib.unideb.hu/handle/2437/105227
Android alkalmazás fejlesztése MPEG-4 szabvány alapján vezérelhető beszélő fejmodellel történő interaktív kommunikációhoz,"Ozsváth, Jonathán","Kunkli, Roland",2017,2437/240212,https://dea.lib.unideb.hu/handle/2437/240212
Kalória- és tápanyagbevitelt rögzítő alkalmazás fejlesztése Android platformon,"Bedő, Vince Norbert","Kunkli, Roland",2018,2437/250634,https://dea.lib.unideb.hu/handle/2437/250634
MPEG-4 szabvány szerint vezérelhető interaktív fejmodell továbbfejlesztése Android platformon,"Erős, Bence Dániel","Kunkli, Roland",2018,2437/250265,https://dea.lib.unideb.hu/handle/2437/250265
MPEG-4 szabványnak megfelelő fejmodell interaktív megjelenítése Android platformon,"Török, Tibor","Kunkli, Roland",2015,2437/213243,https://dea.lib.unideb.hu/handle/2437/213243
Processing alkalmazás fejlesztése centrálaxonometrikus kép centrális projekcióvá alakításához,"Kelemen, Anna","Kunkli, Roland",2016,2437/233147,https://dea.lib.unideb.hu/handle/2437/233147
Házipénztár tervező alkalmazás fejlesztése mesterséges intelligencia használatával,"Pregh, András","Kádek, Tamás",2019,2437/277209,https://dea.lib.unideb.hu/handle/2437/277209
Rendezvényszervezési feladatokat támogató intelligens alkalmazás,"Szászi, Zoltán","Kádek, Tamás",2018,2437/261401,https://dea.lib.unideb.hu/handle/2437/261401
Reversi játék és lépésajánló algoritmus implementálása Android rendszerre,"Balogh, István","Kádek, Tamás",2015,2437/211957,https://dea.lib.unideb.hu/handle/2437/211957
.NET alapú határidő figyelő alkalmazás fejlesztése,"Mihucza, Bence","Kósa, Márk",2014-01-15T11:02:30Z,2437/178563,https://dea.lib.unideb.hu/handle/2437/178563
A tanulmányi előrehaladás játékosítása Android platformon,"Kiss, Benjámin","Kósa, Márk",2019,2437/277237,https://dea.lib.unideb.hu/handle/2437/277237
Adatbázis tervezése és webes alkalmazás fejlesztése építőipai projektek karbantartásához,"Fehérvári, Zsolt","Kósa, Márk",2013-05-02T07:40:50Z,2437/166417,https://dea.lib.unideb.hu/handle/2437/166417
Alkalmazásfejlesztés Android platformra,"Kathi, Zsigmond","Kósa, Márk",2018,2437/259397,https://dea.lib.unideb.hu/handle/2437/259397
Hálózati alkalmazás fejlesztése kétszemélyes játékok kiszolgálására,"Lucski, Zsolt","Kósa, Márk",2014,2437/202020,https://dea.lib.unideb.hu/handle/2437/202020
Mobil alkalmazás fejlesztés,"Czirják, Tibor","Kósa, Márk",2019,2437/267328,https://dea.lib.unideb.hu/handle/2437/267328
Stratégiai játék fejlesztése Android rendszeren,"Kiss, Dávid István","Kósa, Márk",2012-05-08T09:38:11Z,2437/128625,https://dea.lib.unideb.hu/handle/2437/128625
Árfolyamelemző alkalmazás fejlesztése ADO.NET Entity Framework eszközökkel,"Szalkai, László","Kósa, Márk",2013-05-03T06:30:49Z,2437/166623,https://dea.lib.unideb.hu/handle/2437/166623
A WATS alkalmazás fejlesztése,"Kozma, Zoltán","Kósa, Márk Szabolcs",2010-05-31T14:00:23Z,2437/97010,https://dea.lib.unideb.hu/handle/2437/97010
Alkalmazás fejlesztés JAVA technológiával,"Pánisz, Norbert","Kósa, Márk Szabolcs",2019,2437/266884,https://dea.lib.unideb.hu/handle/2437/266884
Alkalmazásfejlesztés Android platformra,"Arnóczki, Patrik","Kósa, Márk Szabolcs",2018,2437/259227,https://dea.lib.unideb.hu/handle/2437/259227
Alkalmazásfejlesztés Android platformra,"Pócsik, Norbert","Kósa, Márk Szabolcs",2017,2437/238736,https://dea.lib.unideb.hu/handle/2437/238736
Alkalmazásfejlesztés mobil eszközökre,"Pálfi, Norbert","Kósa, Márk Szabolcs",2011-05-02T07:55:06Z,2437/105537,https://dea.lib.unideb.hu/handle/2437/105537
Android alkalmazásfejlesztés Java nyelven,"Magyar, Melinda Barbara","Kósa, Márk Szabolcs",2020,2437/286394,https://dea.lib.unideb.hu/handle/2437/286394
Feladatkezelő alkalmazás fejlesztése Android és Android Wear eszközökre,"Lakatos, Attila","Kósa, Márk Szabolcs",2018,2437/251319,https://dea.lib.unideb.hu/handle/2437/251319
HemApp,"Czuczor, Gergő","Kósa, Márk Szabolcs",2015,2437/210203,https://dea.lib.unideb.hu/handle/2437/210203
Hálózati alkalmazás fejlesztése a snapszer kártyajátékhoz,"László, Albert","Kósa, Márk Szabolcs",2012-05-31T09:21:57Z,2437/129685,https://dea.lib.unideb.hu/handle/2437/129685
Kalória fogyasztás mérő alkalmazás implementálása,"Harsányi, Tibor","Kósa, Márk Szabolcs",2020,2437/298700,https://dea.lib.unideb.hu/handle/2437/298700
Kliens-szerver alkalmazás .NET Core 2 és Javascript technológiákkal,"Jakab, Sándor","Kósa, Márk Szabolcs",2019,2437/276846,https://dea.lib.unideb.hu/handle/2437/276846
M.A.G.U.S. asztali szerepjátékhoz készített  Android alkalmazás,"Molnár, Ádám","Kósa, Márk Szabolcs",2017,2437/246116,https://dea.lib.unideb.hu/handle/2437/246116
Mobil alkalmazás fejlesztése,"Vereb, György","Kósa, Márk Szabolcs",2020,2437/286388,https://dea.lib.unideb.hu/handle/2437/286388
Optimalizációs alkalmazás készítése az E.ON Energiatermelő Kft. számára,"Körmöndi, Tamás","Kósa, Márk Szabolcs",2014,2437/201519,https://dea.lib.unideb.hu/handle/2437/201519
Sakk alkalmazás fejlesztése .NET technológiával,"Bonta, Mihály Zsolt","Kósa, Márk Szabolcs",2012-06-07T10:22:16Z,2437/129881,https://dea.lib.unideb.hu/handle/2437/129881
Többszemélyes játék fejlesztése Android platformra,"Szimjon, Tímea","Kósa, Márk Szabolcs",2016,2437/233040,https://dea.lib.unideb.hu/handle/2437/233040
Üzleti alkalmazás fejlesztése Java technológiával,"Molnár, Gábor","Kósa, Márk Szabolcs",2014-05-07T08:37:14Z,2437/191519,https://dea.lib.unideb.hu/handle/2437/191519
Nyelvtanulás OCR segítségével applikáció formájában,"Fülöp, Gergely","Lakatos, Róbert",2024,2437/365809,https://dea.lib.unideb.hu/handle/2437/365809
Alkalmazás fejlesztés Java platformon,"Pólya, Péter","Major, Sándor Roland",2019,2437/267684,https://dea.lib.unideb.hu/handle/2437/267684
Android Alkalmazásfejlesztés Java Programozási nyelven,"Jakubecz, Marcell","Major, Sándor Roland",2020,2437/284959,https://dea.lib.unideb.hu/handle/2437/284959
Chat alkalmazás fejlesztése platformfüggetlen webes felületű keretrendszer kialakításával,"Kovács, Sándor","Major, Sándor Roland",2020,2437/286956,https://dea.lib.unideb.hu/handle/2437/286956
Csapattárskereső alkalmazás fejlesztése,"Borz, Albert Ádám","Major, Sándor Roland",2023,2437/351402,https://dea.lib.unideb.hu/handle/2437/351402
Integrált vállalat menedzselési alkalmazás fejlesztése Java nyelven,"Löki, Tamás","Major, Sándor Roland",2020,2437/298958,https://dea.lib.unideb.hu/handle/2437/298958
Számítógép összerakó alkalmazás fejlesztés,"Szűcs, Levente","Major, Sándor Roland",2022,2437/331738,https://dea.lib.unideb.hu/handle/2437/331738
Életmód segítő alkalmazás fejlesztése,"Tarcsa, Tamás","Major, Sándor Roland",2020,2437/286060,https://dea.lib.unideb.hu/handle/2437/286060
Informatikai alkalmazás - alternatív medicina tárgykörben,"Győrfi, Anita","Nagy, Benedek",2013-12-16T13:20:42Z,2437/177733,https://dea.lib.unideb.hu/handle/2437/177733
Blokklánc alapú biztonsági keretrendszer IoT eszközökre,"Nagy, Csaba Norbert","Oláh, Norbert",2024,2437/365930,https://dea.lib.unideb.hu/handle/2437/365930
Blokklánc-alapú dokumentum hitelesítési alkalmazás,"Lazar, Dóra Csilla","Oláh, Norbert",2026,2437/413198,https://dea.lib.unideb.hu/handle/2437/413198
IoT eszközök kommunikációjának védelme,"Lukács, Dávid","Oláh, Norbert",2026,2437/413194,https://dea.lib.unideb.hu/handle/2437/413194
Könnyűsúlyú jeltitkosítási rendszer IoT-hálózatokhoz,"Molnár, Botond","Oláh, Norbert",2026,2437/404451,https://dea.lib.unideb.hu/handle/2437/404451
Navigációs alkalmazás tervezése és megvalósítása beltéri környezetben,"Félegyházi, Gergő","Oláh, Norbert",2026,2437/413196,https://dea.lib.unideb.hu/handle/2437/413196
NFT Blokklánc alapú alkalmazás vizsgálata,"Kiss, Milán","Oláh, Norbert",2022,2437/341469,https://dea.lib.unideb.hu/handle/2437/341469
Okosszerződések – Egy blokklánc alapú alkalmazás vizsgálata,"Tasi, Norbert","Oláh, Norbert",2023,2437/350173,https://dea.lib.unideb.hu/handle/2437/350173
Identity-based Cryptography implementálása IoT eszközre,"Koroknai, Tibor","Oniga, István",2020,2437/287106,https://dea.lib.unideb.hu/handle/2437/287106
Intelligens adatgyűjtő szenzorhálózat kialakítása IoT és ZigBee eszközök segítségével,"Szilágyi, Mihály","Oniga, István",2014,2437/202034,https://dea.lib.unideb.hu/handle/2437/202034
HD video streaming szolgáltatás mobil WiFi környezetben,"Berna, Tibor","Orosz, Péter",2012-05-14T09:53:14Z,2437/128931,https://dea.lib.unideb.hu/handle/2437/128931
Valósidejű kommunikáció mobil Wifi környezetben,"Simon, Béla","Orosz, Péter",2013-01-24T07:13:25Z,2437/156767,https://dea.lib.unideb.hu/handle/2437/156767
Munkabeosztást segítő alkalmazás fejlesztése vállalkozások számára,"Tóth, Ferenc","Papp, Ildikó",2022,2437/331072,https://dea.lib.unideb.hu/handle/2437/331072
Web alapú lokalizációs alkalmazás megvalósítása,"Molnár, Károly","Papp, Zoltán; Diviánszky, Ákos",2009-01-08T10:08:13Z,2437/78052,https://dea.lib.unideb.hu/handle/2437/78052
Matlab applikáció készítése matematikai problémák vizualizálására és megoldására,"Varga, Krisztián","Pecsora, Sándor",2023,2437/352037,https://dea.lib.unideb.hu/handle/2437/352037
IoT eszköz operációs rendszerének sérülékenység vizsgálata,"Csarnai, Márton","Pintér-Huszti, Andrea",2021,2437/306249,https://dea.lib.unideb.hu/handle/2437/306249
IoT eszközök biztonságának vizsgálati sémái és egy konkrét IoT eszköz biztonsági vizsgálata,"Kuczik, Anna","Pintér-Huszti, Andrea",2020,2437/286745,https://dea.lib.unideb.hu/handle/2437/286745
Adatbázis alapú webes alkalmazás fejlesztése,"Kovács, Ádám","Pánovics, János",2012-06-11T08:29:57Z,2437/130040,https://dea.lib.unideb.hu/handle/2437/130040
Android alkalmazásfejlesztés Scala nyelven,"Fekete, Norbert","Pánovics, János",2014-04-29T13:45:01Z,2437/190753,https://dea.lib.unideb.hu/handle/2437/190753
